id,family,layout,N,B,workload,arm,seed,warmup_requests,measured_requests,bytes_per_request,rpc_per_request,request_bytes,response_bytes,cpu_seconds,harness_seconds,elapsed_seconds,max_online_boundary_stash,answer_sha256,transcript_sha256,receipt,receipt_sha256
MIN_formal_IR_uniform_selective_B64_seed101,IR,uniform,4096,64,uniform,selective,101,12288,24576,9772.244466145834,2.6666666666666665,106839516,133323164,114.390625,115.71852690004744,195.48913025856018,6,7100487fb51e8014099d39fd2bb7e5faea90e13daa303c13aa8cd95450f8ba31,35b8ea928c0f3c4b03007e0c23992d56a80ef8df2b8a4f963d070d1f27fe068c,results\formal\MIN_formal_IR_uniform_selective_B64_seed101.json,5e279dc06fd8b6e7a9ca4d2ea92a6d068fb5653531ebf81cd878d1f8ae998c9c
MIN_formal_IR_uniform_selective_B64_seed102,IR,uniform,4096,64,uniform,selective,102,12288,24576,9767.511067708334,2.6666666666666665,106792008,133254344,113.5,115.08621729991864,194.4802770614624,7,46c40b7c5dd47e85a10094d66e0f08bb96e324893a289ab802ee5c17153b02ce,a607d5cf0975d8ffd073c0a56c79f4799d1272cda7cdeb809a746e16acc454f9,results\formal\MIN_formal_IR_uniform_selective_B64_seed102.json,410489068ca190e7a01279ed0f41b378ca62e2bb09561e753feb26a0ff17d749
MIN_formal_IR_uniform_selective_B64_seed103,IR,uniform,4096,64,uniform,selective,103,12288,24576,9773.1826171875,2.6666666666666665,106848932,133336804,102.671875,103.7820689000655,173.45708537101746,8,2b2cc6b0fef146f9c667c4b87fa261949e5a641480ca610d66e72afb4223f76e,68e828c967d669326e995e25c6a4c1748e04db82959cd480f0f1135870822635,results\formal\MIN_formal_IR_uniform_selective_B64_seed103.json,6a04ae6c61240626c00b0d708cb73726b92b8b7bf4bc2052f68b6cc6c4697e85
MIN_formal_IR_uniform_selective_B64_seed104,IR,uniform,4096,64,uniform,selective,104,12288,24576,9769.046223958334,2.6666666666666665,106807416,133276664,113.5,114.83805159991607,193.67069911956787,6,844c3d61d7cd64c6d5a18e33b6b97baba62e7562e4e983dc3759173f6bc204d4,54f83638dc6138a975e6fd730fdf9e11f00f621ae00fa9fcd74abae09169b9f0,results\formal\MIN_formal_IR_uniform_selective_B64_seed104.json,db50533dcc715101f673d9dfedaf148dcf2bba2dc298ed7dd289cb394f0cd6e4
MIN_formal_IR_uniform_selective_B64_seed105,IR,uniform,4096,64,uniform,selective,105,12288,24576,9761.114583333334,2.6666666666666665,106727808,133161344,112.8125,114.08184759994037,192.96371340751648,10,36113f022dc91d913c42a994c54f90aeea23ce655704928b954c53f78af0f2b4,5c6ff2ea8b98a5b8606b918095a0b789ce4524d8aa8517c62433287949439241,results\formal\MIN_formal_IR_uniform_selective_B64_seed105.json,dcf518e4551d871a96fe0957b26544a5b74075f032ece5054dfdcfcc47a5491d
MIN_formal_rho_deferred_B4096_seed101,rho,host,4096,4096,uniform,base,101,2048,4096,902587.3046875,8.34326171875,1434184444,2262813156,,818.1533524990082,1598.3866710662842,,93559398ed07a0cbbfa8053102cc73e9f146f9592589b8a110135ff4f8525965,eb7c36747562f60f8bd0692a0c16b8b7de83888d175be8b817d60ac293742c4f;85e7b0e13da85381b076b2cf0ff20ec99e29e4bf657c6640b2e3fd0112ac0e92,results\formal\MIN_formal_rho_deferred_B4096_seed101.json,0aa3fc540320b925ac297bcdc2dc466b41e585a17c2ed61cc9dc4e47a931f6d8
MIN_formal_rho_deferred_B4096_seed102,rho,host,4096,4096,uniform,base,102,2048,4096,900720.39453125,8.326171875,1431201464,2258149272,,493.7663674354553,1085.4576528072357,,14a34258ba7302bd7b9f839b1b20708da9d7658edc8ebdc1b6b6700368982e17,5863c7d08cf10851b05209eee17aa773ee817c9a34724cea8e2aa3862c9cd275;f8d5acae1d546163ff2d04b309927d5ad8b7f59af9952fd8ead5c644621f779b,results\formal\MIN_formal_rho_deferred_B4096_seed102.json,d4c03902ead66c5e7a21741ddad988d67d253eddbb398866466980d9bb1f0d49
MIN_formal_rho_deferred_B4096_seed103,rho,host,4096,4096,uniform,base,103,2048,4096,900613.0390625,8.32568359375,1430981132,2257929876,,499.90550780296326,1106.2022058963776,,ac27acf63bcd30e25e8f041ed45aac9e57c60d851de1324a2922cd4c30295476,c7322f15600f1850c98152a9071366c42233e600202afdf8a667919c7335a17c;472b8133d5fe22057a939e472c9f6fbfeabe13ed327771aaa3e9d32c587cf87f,results\formal\MIN_formal_rho_deferred_B4096_seed103.json,cd3660630103746fc359620154f4e89877570db3d43e3e48a31851adff8f568c
MIN_formal_rho_deferred_B4096_seed104,rho,host,4096,4096,uniform,base,104,2048,4096,899153.9453125,8.3115234375,1428729064,2254205496,,714.5786235332489,1452.8077774047852,,7a41c6809c07af2967c4c7f70828321d15038179876d919aa3fca454d5e7e8eb,9fcf0814de8952213e7bb215b033f63614ba85ed97049e6ecfe3ec0a635fb5de;db6b6817b3f7bd5effe8dc1b3fd22d462eeddc63bc9a22d8c270d970c0bd8ede,results\formal\MIN_formal_rho_deferred_B4096_seed104.json,db73fee986ea65554bc6cbc79ff4692d63e9e963a998c21a7a4d1c4d64ebb35a
MIN_formal_rho_deferred_B4096_seed105,rho,host,4096,4096,uniform,base,105,2048,4096,899046.58984375,8.31103515625,1428508732,2253986100,,816.6318829059601,1593.361637353897,,f445314bf2489591aa3b641cca077bac001c873b65c028b133312d09de03fee7,8652d2a9607776b325d74aa9e6c387c56adf4fc616a0891f7a733c03c75eafea;4cd06cada7f529e02fb6026431a88fd50492c7335b8fca4cdb1c861a1feda37b,results\formal\MIN_formal_rho_deferred_B4096_seed105.json,201894d09e7e4c5b612d55e818f0e1970ed353c413c66923bb58c1b104fb28db
