height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.fffc5d5720773p-1,0x1.8dab69dcb7f93p-6,0x1.d2921f4b20d69p-16,0x1.0bb1eaea2514bp-12,0x0p+0,0x0p+0,0.00101262
2,0x1.fff5042db1a8ap-1,0x1.a580e52bd4d85p-5,0x1.606b07cd5594ep-14,0x1.c0ea0e3b58fc9p-11,0x1.3eb82a7e79f33p-21,0x1.1b8c35c67d6b3p-18,0.00110121
3,0x1.ffe61e56b4acep-1,0x1.51bba0a81e6ffp-4,0x1.9f394ca3c7437p-13,0x1.267a1cbd08168p-9,0x1.1f003b4364ea8p-19,0x1.015412b320bfbp-16,0.00106041
