height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.f50fda1716765p-1,0x1.6c0186a67b579p+0,0x1.694cbbd559ebbp-6,0x1.b6faabe5c8224p-3,0x0p+0,0x0p+0,0.00238388
2,0x1.80a5ce68b194ep-1,0x1.3ba0accbdbf16p+2,0x1.00cd8d9bb3c1p-2,0x1.2c4310b3b1b8dp+1,0x1.9f614aaefeadap-3,0x1.acb630a2d2a93p+0,0.00100489
3,0x1.bde6be2ba1679p-2,0x1.54e87b6920469p+3,0x1.42d4b1b59572ap-1,0x1.1e89df7e7dc2bp+3,0x1.080dfbd68c6d2p-3,0x1.0949a3c1371f8p+0,0.000913162
