height,a,b,c,upper_hex
1,0,0,0,0x1.f9e7a72286102p-1
1,1,0,0,0x1.0978681a68881p-7
2,0,0,0,0x1.f1e48b6d8d5d7p-1
2,0,1,0,0x1.054419ce55252p-7
2,1,0,0,0x1.08dab55401b9cp-7
2,1,1,0,0x1.15f611ea3ee5cp-14
2,2,0,0,0x1.10038962110e2p-14
2,2,1,0,0x1.1d799988986b1p-21
3,0,0,0,0x1.e632563fd804ap-1
3,0,0,1,0x1.fe41d1b212c21p-8
3,0,1,0,0x1.02a1f015a0f9fp-7
3,0,1,1,0x1.0f6e7a5485bf3p-14
3,0,2,0,0x1.099fb5f2e9fdp-14
3,0,2,1,0x1.16c4d24d3467ap-21
3,1,0,0,0x1.064ee82066beep-7
3,1,0,1,0x1.134a033b1ca3dp-14
3,1,1,0,0x1.1711ecd4a341cp-14
3,1,1,1,0x1.24e16195f55e2p-21
3,1,2,0,0x1.1e9d20c4065d9p-21
3,1,2,1,0x1.2ccc275cd0172p-28
3,2,0,0,0x1.0f1b72aa65637p-13
3,2,0,1,0x1.1c86068d543f6p-20
3,2,1,0,0x1.206e67fca4821p-20
3,2,1,1,0x1.2eb4750e7d331p-27
3,2,2,0,0x1.283a63e67625bp-27
3,2,2,1,0x1.36e33781527ccp-34
3,3,0,0,0x1.184d4ace49bep-20
3,3,0,1,0x1.262c5ada9da47p-27
3,3,1,0,0x1.2a36a9ee39578p-27
3,3,1,1,0x1.38f8a4b42c844p-34
3,3,2,0,0x1.324657a6836dfp-34
3,3,2,1,0x1.416e728fb42dap-41
3,4,0,0,0x1.1fe1051fdf89bp-28
3,4,0,1,0x1.2e201303a4fdfp-35
3,4,1,0,0x1.324657a6836dep-35
3,4,1,1,0x1.416e728fb42d9p-42
3,4,2,0,0x1.3a8dce4f45a2ap-42
