height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.000000000006ap+0,0x1.01d83dfbe0512p+0,0x1.2ec9580691337p-455,0x1.313c031c54402p-448,0x0p+0,0x0p+0,0.0338742
2,0x1.0000000000103p+0,0x1.30401c487a967p+0,0x1.2ec9580691339p-454,0x1.35fb859582e2cp-447,0x0.00001f3da5a6ep-1022,0x0.00224b6f0cfc1p-1022,0.0234011
3,0x1.0000000000107p+0,0x1.6d63d865cb52fp+0,0x1.2ec958069133bp-453,0x1.3b28ce1e332p-446,0x1.5f1f13632079ep-799,0x1.8181f63de7a8dp-791,0.0280825
4,0x1.0000000000112p+0,0x1.2f8224f9b7833p+0,0x1.2ec958069133dp-452,0x1.40e6b722e1a22p-445,0x1.b0067111fe1dap-605,0x1.da737f861c60fp-597,0.29596
5,0x1.000000000012dp+0,0x1.61b9193b926b8p+0,0x1.378aa5ebe6f41p-451,0x1.594f3c3890e32p-444,0x1.1829bcaab805bp-456,0x1.33cfdeb4dd575p-448,0.316029
6,0x1.0000000000164p+0,0x1.ecdd2e0352463p+0,0x1.07c46be0bdb73p-354,0x1.21ffb317b2544p-346,0x1.07c46be0bdb72p-354,0x1.21ffb317b2543p-346,0.291972
7,0x1.00000000001dcp+0,0x1.5773be40df00bp+1,0x1.c1c8ecc1f63cfp-286,0x1.eee4dfed8a82cp-278,0x1.c1c8ecc1f63cep-286,0x1.eee4dfed8a82bp-278,0.269407
8,0x1.00000000002d2p+0,0x1.0a5369e6da40ep+2,0x1.52fb27d9a37dep-232,0x1.754d10159cc52p-224,0x1.52fb27d9a37ddp-232,0x1.754d10159cc51p-224,0.287217
9,0x1.00000000004c2p+0,0x1.e2709bf091c4dp+2,0x1.2101be157d479p-186,0x1.3e9819c47d28fp-178,0x1.2101be157d3cfp-186,0x1.3e9819c47d1dp-178,0.300404
10,0x1.00000000008adp+0,0x1.c494ccc1d2a3p+3,0x1.1fb537ea0ee2ep-144,0x1.3d933575e94fdp-136,0x1.1fb537ea0e525p-144,0x1.3d933575e8abbp-136,0.290598
11,0x1.00000000010aap+0,0x1.b4c3554ee70bcp+4,0x1.5a5c0776d5736p-104,0x1.7f09fa35f8e5p-96,0x1.5a5c0776d333fp-104,0x1.7f09fa35f647cp-96,0.273394
12,0x1.00000000020e8p+0,0x1.acc3c96977985p+5,0x1.1bfd2d09d808ap-65,0x1.3b1251e43670fp-57,0x1.1bfd2d09d29f2p-65,0x1.3b1251e42fdbap-57,0.268467
13,0x1.fffffff775c0ep-1,0x1.a8c3c9749f24p+6,0x1.125227ebfa9f7p-30,0x1.3288103056457p-22,0x1.125227ebb3a02p-30,0x1.3288102ff85cbp-22,0.252537
14,0x1.f427f59d74779p-1,0x1.a6c3c974c8bccp+7,0x1.7b014c53971a6p-6,0x1.b43b88217d0fep+2,0x1.7b014a2ef2ca8p-6,0x1.b43b84d6b35bep+2,0.263214
15,0x1.52c3f70ce7ebap-11,0x1.a62c1142e8cacp+8,0x1.fff1729d5e83dp-1,0x1.a5ff6d8ae552ep+8,0x1.e8415dd825122p-1,0x1.8e8a213f3767cp+8,0.261882
16,0x1.340338531fc2p-78,0x1.a68fbf8afb3e8p+10,0x1.fff1799e86bd7p+0,0x1.a68fbf8afb3e7p+10,0x1.c04a0e60608adp-22,0x1.d5f236da1c0cap-13,0.297976
17,0x1.a22502d2a45cep-273,0x1.3d05d054af38ap+13,0x1.fff1799e86bd9p+1,0x1.3d05d054af389p+13,0x1.7297bf9262d1bp-156,0x1.8db088cff9717p-147,0.273321
18,0x1.9fc3df9dd2319p-729,0x1.8c4645d22efb4p+16,0x1.fff1799e86bdbp+2,0x1.8c4645d22efb3p+16,0x1.557e7148d8e13p-545,0x1.70c36742431b3p-536,0.267615
19,0x0.0000010af51b2p-1022,0x1.bdc4d097737acp+20,0x1.fff1799e86bddp+3,0x1.bdc4d097737abp+20,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.286891
20,0x0.0000010af51b2p-1022,0x1.d994883f6267cp+25,0x1.fff1799e86bdfp+4,0x1.d994883f6267bp+25,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.258375
21,0x0.0000010af51b2p-1022,0x1.e853bda597a8ep+31,0x1.fff1799e86be1p+5,0x1.e853bda597a8dp+31,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.274165
22,0x0.0000010af51b2p-1022,0x1.efe732291c4bcp+38,0x1.fff1799e86be3p+6,0x1.efe732291c4bbp+38,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.272672
23,0x0.0000010af51b2p-1022,0x1.f3b8ef1328852p+46,0x1.fff1799e86be5p+7,0x1.f3b8ef1328851p+46,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.276169
24,0x0.0000010af51b2p-1022,0x1.f59e7acb28b74p+55,0x1.fff1799e86be7p+8,0x1.f59e7acb28b73p+55,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.269341
25,0x0.0000010af51b2p-1022,0x1.f68b0f0b39484p+65,0x1.fff1799e86be9p+9,0x1.f68b0f0b39483p+65,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.303106
