height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.c8f53882ac4edp-3,0x1.73a891be92583p-14,0x1.a06c8f387bd09p-18,0x1.ddd8bb62bc284p-15,0x0p+0,0x0p+0,0.00225008
2,0x1.6bfd436feba3cp-7,0x1.940a590e7dac6p-13,0x1.38516b6a5cdc7p-16,0x1.8d6de83f1caap-13,0x0p+0,0x0p+0,0.00160852
3,0x1.cde53080f1b53p-16,0x1.01defd6476de7p-11,0x1.6c5efd516c569p-15,0x1.01dd6a85c65c4p-11,0x0p+0,0x0p+0,0.00129291
4,0x1.73e5c48a2cd68p-33,0x1.32f85f103bcbdp-10,0x1.8665c644f413bp-14,0x1.32f85f0fea9bp-10,0x1.a2a67b2c338aep-140,0x1.d6fcd8cd9b721p-137,0.00135899
