height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.fe0d88c2efb25p-1,0x1.6d058f244fbb3p-5,0x1.f9a864c49658bp-9,0x1.2aa7751db5992p-5,0x0p+0,0x0p+0,0.0011641
2,0x1.fa2e484e8ab4p-1,0x1.323a22c63b797p-3,0x1.7b3e4b9370c29p-7,0x1.10cde1520fd11p-3,0x0p+0,0x0p+0,0.00153655
3,0x1.f2864c0e83e6fp-1,0x1.9b08ca036f962p-2,0x1.ba73582c53a49p-6,0x1.81f83a5c2c2efp-2,0x1.405b58e5a2e7ep-40,0x1.687b65ef18909p-37,0.00107921
4,0x1.e38ed09333d44p-1,0x1.0077495dfb067p+0,0x1.da0dde7feeba5p-5,0x1.f447dd12ba35ep-1,0x1.d46c0b936a117p-35,0x1.07d294fe61a8ep-31,0.000893571
