height,a,b,c,mass_hex
2,0,1,7,0x0p+0
2,0,2,0,0x1.382bb60dc315bp-5
2,0,2,1,0x0p+0
2,0,2,2,0x0p+0
2,0,2,3,0x0p+0
2,0,2,4,0x0p+0
2,0,2,5,0x0p+0
2,0,2,6,0x0p+0
2,0,3,0,0x1.0b932e54f05bdp-6
2,0,3,1,0x0p+0
2,0,3,2,0x0p+0
2,0,3,3,0x0p+0
2,0,3,4,0x0p+0
2,0,3,5,0x0p+0
2,0,4,0,0x1.915cc57f6889cp-8
2,0,4,1,0x0p+0
2,0,4,2,0x0p+0
2,0,4,3,0x0p+0
2,0,4,4,0x0p+0
2,0,5,0,0x0p+0
2,0,5,1,0x0p+0
2,0,5,2,0x0p+0
2,0,5,3,0x0p+0
2,0,6,0,0x0p+0
2,0,6,1,0x0p+0
2,0,6,2,0x0p+0
2,0,7,0,0x0p+0
2,0,7,1,0x0p+0
2,0,8,0,0x0p+0
2,1,0,0,0x1.84f59744087d9p-4
2,1,0,1,0x0p+0
2,1,0,2,0x0p+0
2,1,0,3,0x0p+0
2,1,0,4,0x0p+0
2,1,0,5,0x0p+0
2,1,0,6,0x0p+0
2,1,0,7,0x0p+0
2,1,1,0,0x1.80cd72152fep-7
2,1,1,1,0x0p+0
2,1,1,2,0x0p+0
2,1,1,3,0x0p+0
2,1,1,4,0x0p+0
2,1,1,5,0x0p+0
2,1,1,6,0x0p+0
2,1,2,0,0x1.80cd72152fep-8
2,1,2,1,0x0p+0
2,1,2,2,0x0p+0
2,1,2,3,0x0p+0
2,1,2,4,0x0p+0
2,1,2,5,0x0p+0
2,1,3,0,0x1.49d4aaed96cp-9
2,1,3,1,0x0p+0
2,1,3,2,0x0p+0
2,1,3,3,0x0p+0
2,1,3,4,0x0p+0
2,1,4,0,0x1.eebf006462202p-11
2,1,4,1,0x0p+0
2,1,4,2,0x0p+0
2,1,4,3,0x0p+0
2,1,5,0,0x0p+0
2,1,5,1,0x0p+0
2,1,5,2,0x0p+0
2,1,6,0,0x0p+0
2,1,6,1,0x0p+0
2,1,7,0,0x0p+0
2,2,0,0,0x1.bb5feeb2bfd2cp-5
2,2,0,1,0x0p+0
2,2,0,2,0x0p+0
2,2,0,3,0x0p+0
2,2,0,4,0x0p+0
2,2,0,5,0x0p+0
2,2,0,6,0x0p+0
2,2,1,0,0x1.b6a2e9cd5eccbp-8
2,2,1,1,0x0p+0
2,2,1,2,0x0p+0
2,2,1,3,0x0p+0
2,2,1,4,0x0p+0
2,2,1,5,0x0p+0
2,2,2,0,0x1.b6a2e9cd5eccbp-9
2,2,2,1,0x0p+0
2,2,2,2,0x0p+0
2,2,2,3,0x0p+0
2,2,2,4,0x0p+0
2,2,3,0,0x1.77f95ab0081d4p-10
2,2,3,1,0x0p+0
2,2,3,2,0x0p+0
2,2,3,3,0x0p+0
2,2,4,0,0x1.19fb04040616p-11
2,2,4,1,0x0p+0
2,2,4,2,0x0p+0
2,2,5,0,0x0p+0
2,2,5,1,0x0p+0
2,2,6,0,0x0p+0
2,3,0,0,0x1.bbc38b586f2e6p-6
2,3,0,1,0x0p+0
2,3,0,2,0x0p+0
2,3,0,3,0x0p+0
2,3,0,4,0x0p+0
2,3,0,5,0x0p+0
2,3,1,0,0x1.b70575ec662d3p-9
2,3,1,1,0x0p+0
2,3,1,2,0x0p+0
2,3,1,3,0x0p+0
2,3,1,4,0x0p+0
2,3,2,0,0x1.b70575ec662d3p-10
2,3,2,1,0x0p+0
2,3,2,2,0x0p+0
2,3,2,3,0x0p+0
2,3,3,0,0x1.784dd2caa0b91p-11
2,3,3,1,0x0p+0
2,3,3,2,0x0p+0
2,3,4,0,0x1.1a3a5e17f88aep-12
2,3,4,1,0x0p+0
2,3,5,0,0x0p+0
2,4,0,0,0x1.8d121dae3c524p-7
2,4,0,1,0x0p+0
2,4,0,2,0x0p+0
2,4,0,3,0x0p+0
2,4,0,4,0x0p+0
2,4,1,0,0x1.88d3c760f106dp-10
2,4,1,1,0x0p+0
2,4,1,2,0x0p+0
2,4,1,3,0x0p+0
2,4,2,0,0x1.88d3c760f106dp-11
2,4,2,1,0x0p+0
2,4,2,2,0x0p+0
2,4,3,0,0x1.50b5865317bccp-12
2,4,3,1,0x0p+0
2,4,4,0,0x1.f910497ca39b3p-14
2,5,0,0,0x1.974eacdc68f2cp-9
2,5,0,1,0x0p+0
2,5,0,2,0x0p+0
2,5,0,3,0x0p+0
2,5,1,0,0x1.92f45507644f4p-12
2,5,1,1,0x0p+0
2,5,1,2,0x0p+0
2,5,2,0,0x1.92f45507644f4p-13
2,5,2,1,0x0p+0
2,5,3,0,0x1.5963b6989f1f6p-14
2,6,0,0,0x1.124f1b99a9f1ep-10
2,6,0,1,0x0p+0
2,6,0,2,0x0p+0
2,6,1,0,0x1.0f60a1c10f4f8p-13
2,6,1,1,0x0p+0
2,6,2,0,0x1.0f60a1c10f4f8p-14
2,7,0,0,0x1.2b3f06d62dc21p-12
2,7,0,1,0x0p+0
2,7,1,0,0x1.280c535e3f3f7p-15
2,8,0,0,0x1.c0de8a4144a32p-15
3,0,0,0,0x1.a6ab1c8d8f98ap-2
3,0,0,1,0x1.a226be0e329bp-5
3,0,0,2,0x1.a226be0e329bp-6
3,0,0,3,0x1.666a59c306ce2p-7
3,0,0,4,0x1.0ccfc352451aap-8
3,0,0,5,0x0p+0
3,0,0,6,0x0p+0
3,0,0,7,0x0p+0
3,0,0,8,0x0p+0
3,0,1,0,0x1.04813159e34aep-4
3,0,1,1,0x1.01b87bdd6c00ap-7
3,0,1,2,0x1.01b87bdd6c00ap-8
3,0,1,3,0x1.b9ce8b3270011p-10
3,0,1,4,0x1.4b5ae865d400fp-11
3,0,1,5,0x0p+0
3,0,1,6,0x0p+0
3,0,1,7,0x0p+0
3,0,2,0,0x1.28f3021ebc633p-5
3,0,2,1,0x1.25c69765ee5b3p-8
3,0,2,2,0x1.25c69765ee5b3p-9
3,0,2,3,0x1.f79d95d34f77dp-11
3,0,2,4,0x1.79b6305e7b9ap-12
3,0,2,5,0x0p+0
3,0,2,6,0x0p+0
3,0,3,0,0x1.2935b91f4c71cp-6
3,0,3,1,0x1.260897e06e058p-9
3,0,3,2,0x1.260897e06e058p-10
3,0,3,3,0x1.f80ebb3798097p-12
3,0,3,4,0x1.7a0b0c69b2073p-13
3,0,3,5,0x0p+0
3,0,4,0,0x1.09eff0dbc5b22p-7
3,0,4,1,0x1.07185e74963efp-10
3,0,4,2,0x1.07185e74963efp-11
3,0,4,3,0x1.c305343593d9bp-13
3,0,4,4,0x1.5243e7282ee35p-14
3,0,5,0,0x1.10cb0dfe44b6cp-9
3,0,5,1,0x1.0de0b9d02af75p-12
3,0,5,2,0x1.0de0b9d02af75p-13
3,0,5,3,0x1.cea5d0d292cc8p-15
3,0,6,0,0x1.6f6f8b02e463ep-11
3,0,6,1,0x1.6b8248a573579p-14
3,0,6,2,0x1.6b8248a573579p-15
3,0,7,0,0x1.90d6c631b355bp-13
3,0,7,1,0x1.8c8e20b47dd3ep-16
3,0,8,0,0x1.2ca114a546805p-15
3,1,0,0,0x1.4b5b9688f1eb2p-4
3,1,0,1,0x1.47d1089d5e54fp-7
3,1,0,2,0x1.47d1089d5e54fp-8
3,1,0,3,0x1.18fc5086e3245p-9
3,1,0,4,0x1.a57a78ca54b68p-11
3,1,0,5,0x0p+0
3,1,0,6,0x0p+0
3,1,0,7,0x0p+0
3,1,1,0,0x1.9874273e6558ap-7
3,1,1,1,0x1.9416ac7dd3a72p-10
3,1,1,2,0x1.9416ac7dd3a72p-11
3,1,1,3,0x1.5a5c93d990d86p-12
3,1,1,4,0x1.03c56ee32ca26p-13
3,1,1,5,0x0p+0
3,1,1,6,0x0p+0
3,1,2,0,0x1.d198aca0261a9p-8
3,1,2,1,0x1.cc9edc06caa1ap-11
3,1,2,2,0x1.cc9edc06caa1ap-12
3,1,2,3,0x1.8ad14ee13ff85p-13
3,1,2,4,0x1.281cfb28effa5p-14
3,1,2,5,0x0p+0
3,1,3,0,0x1.d20147592c695p-9
3,1,3,1,0x1.cd065890805bcp-12
3,1,3,2,0x1.cd065890805bcp-13
3,1,3,3,0x1.8b2a02c5004ebp-14
3,1,3,4,0x1.285f8213c03b2p-15
3,1,4,0,0x1.a0f8c09e3796fp-10
3,1,4,1,0x1.9c83f803512eap-13
3,1,4,2,0x1.9c83f803512eap-14
3,1,4,3,0x1.6195b002d7deep-15
3,1,5,0,0x1.abb8a7043ff84p-12
3,1,5,1,0x1.a726758c9b865p-15
3,1,5,2,0x1.a726758c9b865p-16
3,1,6,0,0x1.200ea4b9b824ap-13
3,1,6,1,0x1.1cfa8ddc15264p-16
3,1,7,0,0x1.3a3e8527b19c5p-15
3,2,0,0,0x1.b1f2d71f607f5p-5
3,2,0,1,0x1.ad4f9c26dbc0ep-8
3,2,0,2,0x1.ad4f9c26dbc0ep-9
3,2,0,3,0x1.6ffb18214ea57p-10
3,2,0,4,0x1.13fc5218fafc2p-11
3,2,0,5,0x0p+0
3,2,0,6,0x0p+0
3,2,1,0,0x1.0b74ff1b5022p-7
3,2,1,1,0x1.0899444b7c393p-10
3,2,1,2,0x1.0899444b7c393p-11
3,2,1,3,0x1.c599075cd4f44p-13
3,2,1,4,0x1.5432c5859fb75p-14
3,2,1,5,0x0p+0
3,2,2,0,0x1.30dfce75fdabap-8
3,2,2,1,0x1.2d9db531e576ap-11
3,2,2,2,0x1.2d9db531e576ap-12
3,2,2,3,0x1.02872d987b8a5p-13
3,2,2,4,0x1.83cac464b94f9p-15
3,2,3,0,0x1.31244d44a67bp-9
3,2,3,1,0x1.2de1789b76f93p-12
3,2,3,2,0x1.2de1789b76f93p-13
3,2,3,3,0x1.02c142ce65fa3p-14
3,2,4,0,0x1.1108dc658551dp-10
3,2,4,1,0x1.0e1ddf1f41d7dp-13
3,2,4,2,0x1.0e1ddf1f41d7dp-14
3,2,5,0,0x1.1812d0b5f2014p-12
3,2,5,1,0x1.151491825d3ebp-15
3,2,6,0,0x1.793dea19a401bp-14
3,3,0,0,0x1.fde026f3d5239p-6
3,3,0,1,0x1.f86d31dedb75cp-9
3,3,0,2,0x1.f86d31dedb75cp-10
3,3,0,3,0x1.b05d9875e0ae3p-11
3,3,0,4,0x1.444632586882bp-12
3,3,0,5,0x0p+0
3,3,1,0,0x1.3a40dc7828116p-8
3,3,1,1,0x1.36e51a35fe36p-11
3,3,1,2,0x1.36e51a35fe36p-12
3,3,1,3,0x1.0a7b3b09b552ep-13
3,3,1,4,0x1.8fb8d88e8ffc6p-15
3,3,2,0,0x1.6637a75f2ed5ep-9
3,3,2,1,0x1.62639d601eb3ap-12
3,3,2,2,0x1.62639d601eb3ap-13
3,3,2,3,0x1.2fc3192dd12c5p-14
3,3,3,0,0x1.668822345674p-10
