height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.000000000000ep+0,0x1.19b531acaa042p-6,0x1.521865ba82007p-75,0x1.5dafae4c68635p-70,0x0p+0,0x0p+0,0.000300889
2,0x1.000000000001ap+0,0x1.2294699d4d5edp-5,0x1.02fb4a5208063p-73,0x1.1be80072bf455p-68,0x1.5a3f8189a174bp-79,0x1.6725dc8895de5p-74,6.56361e-05
3,0x1.0000000000025p+0,0x1.c22f6c7e2b335p-5,0x1.348b9e01cc0ccp-71,0x1.544cd4cba9b72p-66,0x1.3bd8e4fa3fd34p-72,0x1.4852aa7575185p-67,6.52891e-05
4,0x1.0000000000045p+0,0x1.e99a9670aa782p-5,0x1.bf2f9bf03a0f9p-68,0x1.dd9597bee078dp-63,0x1.6f6883a452085p-68,0x1.7e6781848b9a5p-63,8.35321e-05
5,0x1.000000000007ep+0,0x1.06594f0dce731p-4,0x1.d0994b7072829p-65,0x1.f1ab6d86cf518p-60,0x1.6078de5af55e2p-65,0x1.6f3db930a580fp-60,7.78561e-05
6,0x1.00000000000f8p+0,0x1.15247aaf236e2p-4,0x1.3b394bdc2e303p-62,0x1.571f09f0668e5p-57,0x1.8e10d079c776fp-63,0x1.9f1435338e74p-58,0.000118184
7,0x1.00000000001ecp+0,0x1.1c1d611f29c1bp-4,0x1.416ddc4dacdc6p-60,0x1.65999ddf2d77ap-55,0x1.479d245d949e8p-61,0x1.55d6b5456a1dp-56,9.86311e-05
8,0x1.00000000003dp+0,0x1.21dca63093751p-4,0x1.07356f6837fb9p-58,0x1.2d377dae31005p-53,0x1.99f760d4bac04p-60,0x1.abfea89a3e722p-55,7.85711e-05
