baseline,variant,workload,n,mean_saving_pct,ci95_low,ci95_high
path,sde,uniform,5,35.76734992284389,35.657788906122875,35.87691093956491
deferred,sde,uniform,5,24.175659730423106,24.0463268786389,24.304992582207312
ring,r0,uniform,5,25.365870760789118,25.18573460053921,25.546006921039027
path,sde,hot90,5,35.78786464966342,35.68241131592788,35.89331798339896
deferred,sde,hot90,5,24.199876629850937,24.075392750544697,24.324360509157177
ring,r0,hot90,5,25.393937218101218,25.157124177090378,25.63075025911206
