axis,condition_1,condition_2,workload,baseline,variant,n,baseline_bytes_per_request,variant_bytes_per_request,saving_pct,ci95_lower,ci95_upper,source_sha256
dwb,depth,deferred,hot90,False,True,5,66057.625,66057.625,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,depth,deferred,uniform,False,True,5,66057.625,66057.625,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,depth,path,hot90,False,True,5,59136.0,59136.0,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,depth,path,uniform,False,True,5,59136.0,59136.0,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,depth,sde,hot90,False,True,5,53438.44375,53410.11875,0.0530092361133061,-0.03727671260309323,0.14329518482970544,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,depth,sde,uniform,False,True,5,53342.81875,53355.20625,-0.02356642359327088,-0.23678599404399187,0.1896531468574501,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,uniform,deferred,hot90,False,True,5,76640.875,76640.875,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,uniform,deferred,uniform,False,True,5,76640.875,76640.875,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,uniform,path,hot90,False,True,5,70912.0,70912.0,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,uniform,path,uniform,False,True,5,70912.0,70912.0,0.0,0.0,0.0,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,uniform,sde,hot90,False,True,5,61161.20625,61120.25625,0.06695989273425296,-0.030719301901046214,0.16463908736955213,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
dwb,uniform,sde,uniform,False,True,5,61033.80625,61055.41875,-0.03588662951350852,-0.3078546629828898,0.2360814039558728,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
