id,N,B,kind,workload,seed,bytes_per_request,rpc_per_request,elapsed_seconds,answer_sha256,receipt,receipt_sha256
B4_path_N16384_B64_seed105,16384,64,path,uniform,105,57432.0,4.0,114.13679528236389,6c90a9dfb7d1330890bd0826b3b72e1e57add01dc997742b344c19a4ac1ff5a6,results\formal_slices\B4_path_N16384_B64_seed105.json,ea50ded637dbd37983ffa64e8384929d9a647a197caee6f0ec01d1e0ee642951
B4_path_N4096_B4096_seed101,4096,4096,path,uniform,101,435568.0,2.0,129.24450373649597,0b558f3044186e22731b7053435137dd6f7d0906336dd30ac30b569ddce7c7cf,results\formal_slices\B4_path_N4096_B4096_seed101.json,593975a2d16bd5447db9aeca5f709535fd147304cf67e20461e8284603d57e68
B4_path_N4096_B4096_seed102,4096,4096,path,uniform,102,435568.0,2.0,125.00748133659363,f8e0163e9c1e34402b0a6e8ede2c5fecbb2cb60d9530c1e059d29d30958919b7,results\formal_slices\B4_path_N4096_B4096_seed102.json,55726973513d67f0b38dd55a867a6731860b98124659e2e294a77285affa1b3c
B4_path_N4096_B4096_seed103,4096,4096,path,uniform,103,435568.0,2.0,125.76162552833557,5615cb9abebb215bb9208c51b7c4144ce65487679e3dfa5f0a251ae7bc313519,results\formal_slices\B4_path_N4096_B4096_seed103.json,e0dcb2d5b6c9976d75c8a3a95cea74436e56a81c0cb0f241d537147ee00f052e
B4_path_N4096_B4096_seed104,4096,4096,path,uniform,104,435568.0,2.0,125.41886734962463,1af7c12b082585da372e263c152c467f56a2dae2f0543e10700cc635a265592f,results\formal_slices\B4_path_N4096_B4096_seed104.json,5d0c0958432e9ede4dec97b2d51f61c10bd12a9566bf8419367a2c0cfb51d98b
B4_path_N4096_B4096_seed105,4096,4096,path,uniform,105,435568.0,2.0,126.28596544265747,98f5d800bdfbee783a2bb7aa03248fec8a770bf36f541d8d5334a4d1d4ed5605,results\formal_slices\B4_path_N4096_B4096_seed105.json,2a9dfbcd5a9fca5860f731c9cd33e74ac1668577ba9eaf837dc137e9501dcfed
B4_path_N65536_B4096_seed101,65536,4096,path,uniform,101,617912.0,4.0,1403.8350186347961,c15cfab35b3cd6083de830c43b5832c4846b148bff2e62a0c8c346d51d539ba6,results\formal_slices\B4_path_N65536_B4096_seed101.json,339bfc95b957435659d8ab6b89dd4553d275a2a49ef30f48b61d473a996ea48c
B4_path_N65536_B4096_seed102,65536,4096,path,uniform,102,617912.0,4.0,1294.3063151836395,1e35074a1a9dca49fa0117ab2b31900767601819ec16e57a86b6228fbb08f163,results\formal_slices\B4_path_N65536_B4096_seed102.json,533b0b8c66b227902624fa0ad0876a4812efb8144b7cfe3475528c807e5ea2dd
B4_path_N65536_B4096_seed103,65536,4096,path,uniform,103,617912.0,4.0,1296.5117990970612,cfe63f6707a8148bb7d44c0ae041fc9e9a8157bc99cf9b4b8b8fbe20e4ce4bee,results\formal_slices\B4_path_N65536_B4096_seed103.json,89ac8fb4e3cfbebdcddc196a77e19d8a712e885d04a36e5b23d38cd9c0c0767b
B4_path_N65536_B4096_seed104,65536,4096,path,uniform,104,617912.0,4.0,1242.2905099391937,65677b656f14bd72f885517fc27d7685b532f757a053727192c90f62ce153ae5,results\formal_slices\B4_path_N65536_B4096_seed104.json,b6a244775bab6cf35846aeea997a38af250ec90c14d8b31b9bafc0eddb53ed5b
B4_path_N65536_B4096_seed105,65536,4096,path,uniform,105,617912.0,4.0,1258.9609949588776,bb4d57685d4c7e77d6806afe9ea1e666950e970b944027b1d377d44184a9eed9,results\formal_slices\B4_path_N65536_B4096_seed105.json,517fd55e0d592a9e1592f47d4a8e83ac54346bac912c9a5112e74155c1b00d09
B4_r0_N16384_B1024_seed101,16384,1024,r0,uniform,101,110351.796875,8.000244140625,171.259459733963,6cad71d57fb07d1cca4ee6d573e63867d77b4a38582176ce52627cf066c79d90,results\formal_slices\B4_r0_N16384_B1024_seed101.json,4ad126649050999f5571a714abc15137eca0ed08faab11e4fb845e72cf54b547
B4_r0_N16384_B1024_seed102,16384,1024,r0,uniform,102,109990.21484375,8.000244140625,210.89030933380127,14484a7fdd9930e5e2c5b37453bd8bf84e77c5d72c7fda32e0dc2b1c4d8375f0,results\formal_slices\B4_r0_N16384_B1024_seed102.json,58e8bd10594000d5fdd54b6de47a5c96af6682808c1b999eca709a5ac2736a4f
B4_r0_N16384_B1024_seed103,16384,1024,r0,uniform,103,110222.125,8.000244140625,192.77156972885132,f844096dbeae7ca3787f832113f3242061873af752d8cf6b2f7e894b1c560f4c,results\formal_slices\B4_r0_N16384_B1024_seed103.json,747b424e74da91fb050797ef7c4675f50a08719790018fe8c3b5f234108ae978
B4_r0_N16384_B1024_seed104,16384,1024,r0,uniform,104,110095.16796875,8.000244140625,200.43447470664978,d96a4e0f86a0eccee3dc044f9c35c6e67a31e70bbaebb3d3526ff49945beca7c,results\formal_slices\B4_r0_N16384_B1024_seed104.json,64c80cea71c0ea34112da60a5744b64747c34b7ce6480bcb3f867fc00785cb51
B4_r0_N16384_B1024_seed105,16384,1024,r0,uniform,105,110207.70703125,8.000244140625,222.14822220802307,dbc30c75417ce44bb73596815d90a453274b385fdae73018eb28f82b3d9ee63f,results\formal_slices\B4_r0_N16384_B1024_seed105.json,20fc4ced897fb54d15ac5b9470872807a4d669e4c28f811fc66aa3cbcd780b2c
B4_r0_N16384_B256_seed101,16384,256,r0,uniform,101,60881.6640625,8.000244140625,151.5746989250183,b7d3bd5c28d75b4428a53e777ae6988848172468e5c7efeac1da241e7e32c9c4,results\formal_slices\B4_r0_N16384_B256_seed101.json,204d3344679f9275ff46a1ca1c83eb52b714ff371bc08fea23ab79ec0452523f
B4_r0_N16384_B256_seed102,16384,256,r0,uniform,102,60852.41796875,8.000244140625,169.10354113578796,bb1c41341a6d66a1e761a2b83d6499bc08c4f7b4f0082621880b2d0aa1b8200a,results\formal_slices\B4_r0_N16384_B256_seed102.json,e23d15afdd79ac3ed30ccee86d8ac9663b74f0055db1acd916f5a1d26389e923
B4_r0_N16384_B256_seed103,16384,256,r0,uniform,103,60904.765625,8.000244140625,149.4921362400055,44f71098c82825393d25ffb0c8b6b2f90f458c7fd3c6cb19e5dfd1ec8c5b69fc,results\formal_slices\B4_r0_N16384_B256_seed103.json,55dbda3d53e62e14f3401025f91784f1700b0064646238c41c00d2a1314d502f
B4_r0_N16384_B256_seed104,16384,256,r0,uniform,104,60891.37109375,8.000244140625,150.66412234306335,c660add4d404aef8435fdc466564727d430d7e963c9f40f4d8a8902d1fd5c8f2,results\formal_slices\B4_r0_N16384_B256_seed104.json,fe59b1f03473b9066c48e9a59ce5dab291030af6bb0313e32b836e213b98bd86
